Adres,pelny_adres,lat,lon
Al. Jerozolimskie 154,"Al. Jerozolimskie 154, Warszawa, Polska",52.2107387,20.9493329
al. Niepodleglosci 227/233,"al. Niepodleglosci 227/233, Warszawa, Polska",52.2194431,21.0045179
Bitwy Warszawskiej 1920 roku 7b,"Bitwy Warszawskiej 1920 roku 7b, Warszawa, Polska",52.2126996,20.9707389
Bitwy Warszawskiej 1920 roku 7b,"Bitwy Warszawskiej 1920 roku 7b, Warszawa, Polska",52.2126996,20.9707389
Bitwy Warszawskiej 1920 roku 7b,"Bitwy Warszawskiej 1920 roku 7b, Warszawa, Polska",52.2126996,20.9707389
Brama 01,"Brama 01, Warszawa, Polska",52.2381177,20.9999706
Ciasna 5,"Ciasna 5, Warszawa, Polska",52.2514582,21.0059643
Czerniakowska 127,"Czerniakowska 127, Warszawa, Polska",52.2088628,21.0475102
Czerniakowska 231,"Czerniakowska 231, Warszawa, Polska",52.2295796,21.0325283
Dickensa 16,"Dickensa 16, Warszawa, Polska",52.2065355,20.9714083
Dobra 55,"Dobra 55, Warszawa, Polska",52.2417981,21.0234833
Dobra 8/10,"Dobra 8/10, Warszawa, Polska",52.2371405,21.0307794
Dobra 89,"Dobra 89, Warszawa, Polska",52.2464064,21.0189701
Drawska 29a,"Drawska 29a, Warszawa, Polska",52.2095534,20.9616708
Drawska 29a,"Drawska 29a, Warszawa, Polska",52.2095534,20.9616708
Duchnicka 3,"Duchnicka 3, Warszawa, Polska",52.2565434,20.9696814
Plater 31,"Plater 31, Warszawa, Polska",52.2268886,21.0052323
Elblaska 15/17,"Elblaska 15/17, Warszawa, Polska",52.2580783,20.9602064
Filarecka 2,"Filarecka 2, Warszawa, Polska",52.2685302,20.9836313
Filtrowa 9,"Filtrowa 9, Warszawa, Polska",52.2185034,21.0053981
Foksal 12/14,"Foksal 12/14, Warszawa, Polska",52.2341449,21.0216967
Franciszkanska 3,"Franciszkanska 3, Warszawa, Polska",52.2529122,21.0054997
